Country,Region
China,CN
Germany,DE
Bulgaria,DE
Hungary,DE
Croatia,DE
Romania,DE
Switzerland,DE
Slovenia,DE
Poland,DE
Lithuania,DE
Slovakia,DE
Belarus,DE
Ukraine,DE
Latvia,DE
Georgia,DE
Moldova,DE
Estonia,DE
Kazakhstan,DE
Armenia,DE
Azerbaijan,DE
Uzbekistan,DE
Albania,DE
Austria,DE
Kyrgyzstan,DE
Liechtenstein,DE
Turkey,DE
Tajikistan,DE
Portugal,FR
Netherlands,FR
Spain,FR
France,FR
Italy,FR
Greece,FR
Kenya,FR
Belgium,FR
Morocco,FR
Cyprus,FR
Egypt,FR
Mauritius,FR
Senegal,FR
Andorra,FR
Burkina Faso,FR
Cape Verde,FR
Ghana,FR
Gibraltar,FR
Jersey,FR
Luxembourg,FR
Monaco,FR
Saint Martin (French part),FR
Madagascar,FR
Malta,FR
Mozambique,FR
Niger,FR
Swaziland,FR
Mayotte,FR
Algeria,FR
Rwanda,FR
Tunisia,FR
Guinea,FR
Malawi,FR
Seychelles,FR
Angola,FR
Zimbabwe,FR
Equatorial Guinea,FR
Liberia,FR
Sierra Leone,FR
Gabon,FR
Cocos (Keeling) Islands,FR
Namibia,FR
Hong Kong,HQ
Korea,HQ
Thailand,HQ
Malaysia,HQ
Taiwan,HQ
Saudi Arabia,HQ
North Macedonia,HQ
United Arab Emirates,HQ
Cambodia,HQ
Australia,HQ
Philippines,HQ
India,HQ
New Zealand,HQ
Singapore,HQ
Sri Lanka,HQ
Indonesia,HQ
Myanmar,HQ
Vietnam,HQ
Lebanon,HQ
Kuwait,HQ
Jordan,HQ
Nigeria,HQ
South Africa,HQ
Bangladesh,HQ
Nepal,HQ
Maldives,HQ
Mongolia,HQ
Israel,HQ
New Caledonia,HQ
Bhutan,HQ
Iraq,HQ
Oman,HQ
Afghanistan,HQ
American Samoa,HQ
Bahrain,HQ
Brunei Darussalam,HQ
Fiji,HQ
French Polynesia,HQ
Pakistan,HQ
Qatar,HQ
Guam,HQ
Solomon Islands,HQ
Northern Mariana Islands,HQ
Papua New Guinea,HQ
"Bonaire, Sint Eustatius and Saba",HQ
Yemen,HQ
Japan,JP
Denmark,UK
Sweden,UK
Finland,UK
Ireland,UK
Norway,UK
Iceland,US
Antigua and Barbuda,US
Anguilla,US
Argentina,US
Aruba,US
Barbados,US
Bermuda,US
Brazil,US
Canada,US
Chile,US
Colombia,US
Costa Rica,US
Dominican Republic,US
Ecuador,US
Faroe Islands,US
Grenada,US
French Guiana,US
Guadeloupe,US
Guyana,US
Honduras,US
Isle of Man,US
Cayman Islands,US
Martinique,US
Mexico,US
Nicaragua,US
Panama,US
Peru,US
Puerto Rico,US
Turks and Caicos Islands,US
Trinidad and Tobago,US
Uruguay,US
El Salvador,US
Belize,US
Haiti,US
Paraguay,US
Guatemala,US
Bahamas,US
Suriname,US
Czech,DE
Türkiye,DE
USA,US
Russia,DE
UK,UK
PAKISTAN,HQ
Serbia,DE
Bosnia-Herz,DE
Kosovo,Others
Åland Islands,US
Saint Barthélemy,Others
"Bolivia, Plurinational State of",US
"Congo, the Democratic Republic of the",FR
Côte d'Ivoire,FR
Guernsey,Others
Greenland,Others
Heard Island and McDonald Islands,Others
Jamaica,Others
Lao People's Democratic Republic,HQ
Saint Lucia,US
"Macedonia, the Former Yugoslav Republic of",HQ
Macao,HQ
Pitcairn,HQ
Réunion,FR
San Marino,Others
French Southern Territories,FR
"Tanzania, United Republic of",FR
United States Minor Outlying Islands,US
"Virgin Islands, British",UK
"Virgin Islands, U.S.",US
Svalbard and Jan Mayen,Others
Curaçao,HQ
Holy See (Vatican City State),FR
Saint Pierre and Miquelon,Others
Sint Maarten (Dutch part),Others
"Palestine, State of",HQ
"Venezuela, Bolivarian Republic of",US
"Korea, Democratic People's Republic of",HQ
Montenegro,DE
Samoa,HQ
Antarctica,Others
