PI,Customer,ItemCode,Product,Currency,Price,Quantity,Discount,T/T Discount,Total,ShipDate,InvDate,DeliveryFrom,Destination,Comments,Country,ShipTo
2380065,C2,,(EU) C2 Storage Advanced,EUR,189.67,1,0,0,189.67,2024-01-01,2024-01-01,EU,Andorra,,Andorra,
2380066,C2,,(EU) C2 Storage Basic,EUR,31.34,1,0,0,31.34,2024-01-01,2024-01-01,EU,Andorra,,Andorra,
2380067,C2,,(EU) C2 Backup Business,EUR,39.16,1,0,0,39.16,2024-01-01,2024-01-01,EU,Andorra,,Andorra,
2380068,C2,,(EU) C2 Transfer Professional,EUR,7.83,1,0,0,7.83,2024-01-01,2024-01-01,EU,Andorra,,Andorra,
2380069,C2,,(US) C2 Storage Basic,USD,1.96,1,0,0,1.96,2024-01-01,2024-01-01,US,Andorra,,Andorra,
2380070,C2,,(EU) Active Insight Premium,EUR,36.11,1,0,0,36.11,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380071,C2,,(EU) Active Insight Premium Early Bird,EUR,0.78,1,0,0,0.78,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380072,C2,,(EU) C2 Storage Advanced,EUR,1574.1,1,0,0,1574.1,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380073,C2,,(EU) C2 Storage Basic,EUR,77.11,1,0,0,77.11,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380074,C2,,(EU) C2 Backup Individual,EUR,35.24,1,0,0,35.24,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380075,C2,,(EU) C2 Object Storage Standard,EUR,101.95,1,0,0,101.95,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380076,C2,,(EU) C2 Backup Business,EUR,93.91,1,0,0,93.91,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380077,C2,,(EU) C2 Password Plus,EUR,0.39,1,0,0,0.39,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380078,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,7.05,1,0,0,7.05,2024-01-01,2024-01-01,EU,United Arab Emirates,,United Arab Emirates,
2380079,C2,,(APAC) C2 Storage Advanced,USD,1140.07,1,0,0,1140.07,2024-01-01,2024-01-01,APAC,United Arab Emirates,,United Arab Emirates,
