InterCoCC,Product,Month,Currency,Received Qty,Total
BE,D4EC-2666-16G,2023/1,EUR,1,312.82
BE,D4EC-2666-16G,2023/1,EUR,1,312.82
BE,D4EC-2666-16G,2023/1,EUR,1,312.82
BE,D4EC-2666-8G,2023/1,EUR,1,152.3
BE,D4ECSO-2666-16G,2023/1,EUR,1,282.72
BE,D4ES01-16G,2023/1,EUR,3,848.16
BE,D4ES01-8G,2023/1,EUR,1,145.92
BE,D4ES01-8G,2023/1,EUR,3,437.76
BE,D4ES02-4G,2023/1,EUR,1,63.84
BE,D4ES02-4G,2023/1,EUR,1,63.84
BE,D4ES02-8G,2023/1,EUR,1,145.92
BE,D4NESO-2666-4G,2023/1,EUR,1,69.31
BE,D4NESO-2666-4G,2023/1,EUR,1,69.31
BE,DEVICE LICENSE (X 1),2023/1,EUR,1,36.48
BE,DEVICE LICENSE (X 1),2023/1,EUR,1,36.48
BE,DEVICE LICENSE (X 1),2023/1,EUR,1,36.48
BE,DEVICE LICENSE (X 1),2023/1,EUR,1,36.48
BE,DEVICE LICENSE (X 1),2023/1,EUR,1,36.48
BE,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
BE,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
BE,DEVICE LICENSE (X 4),2023/1,EUR,1,136.8
BE,DEVICE LICENSE (X 8),2023/1,EUR,1,248.52
BE,DEVICE LICENSE (X 8),2023/1,EUR,1,248.52
BE,DEVICE LICENSE (X 8),2023/1,EUR,1,248.52
BE,DEVICE LICENSE (X 8),2023/1,EUR,1,248.52
BE,DS120J,2023/1,EUR,1,78.43
BE,DS120J,2023/1,EUR,1,78.43
BE,DS120J,2023/1,EUR,1,78.43
BE,DS120J,2023/1,EUR,1,78.43
BE,DS120J,2023/1,EUR,1,78.43
BE,DS1522+,2023/1,EUR,1,588.24
BE,DS1621XS+,2023/1,EUR,1,1317.75
BE,DS1821+,2023/1,EUR,1,867.31
BE,DS218PLAY,2023/1,EUR,1,181.49
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,1,259.92
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,2,519.84
BE,DS220+,2023/1,EUR,4,1039.68
BE,DS220+,2023/1,EUR,5,1299.6
BE,DS220+,2023/1,EUR,5,1299.6
BE,DS220J,2023/1,EUR,3,440.49
BE,DS418,2023/1,EUR,1,320.11
BE,DS418,2023/1,EUR,1,320.11
BE,DS418,2023/1,EUR,1,320.11
BE,DS420+,2023/1,EUR,-1,-396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,1,396.72
BE,DS420+,2023/1,EUR,2,793.44
BE,DS420+,2023/1,EUR,2,793.44
BE,DS420+,2023/1,EUR,2,793.44
BE,DS420+,2023/1,EUR,4,1586.88
BE,DS420J,2023/1,EUR,1,237.12
BE,DS420J,2023/1,EUR,1,237.12
BE,DS420J,2023/1,EUR,1,237.12
BE,DS620SLIM,2023/1,EUR,1,390.34
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,1,391.25
BE,DS723+,2023/1,EUR,2,782.5
BE,DS723+,2023/1,EUR,3,1173.75
BE,DS723+,2023/1,EUR,3,1173.75
BE,DS723+,2023/1,EUR,5,1956.25
BE,DS920+,2023/1,EUR,-1,-442.32
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,1,482.45
BE,DS923+,2023/1,EUR,2,964.9
BE,DS923+,2023/1,EUR,2,964.9
BE,DS923+,2023/1,EUR,3,1447.35
BE,DS923+,2023/1,EUR,3,1447.35
BE,DS923+,2023/1,EUR,4,1929.8
BE,DS923+,2023/1,EUR,4,1929.8
BE,DS923+,2023/1,EUR,11,5306.95
BE,DX517,2023/1,EUR,1,390.34
BE,E10G18-T1,2023/1,EUR,1,112.18
BE,E10G18-T1,2023/1,EUR,2,224.36
BE,E10G22-T1-MINI,2023/1,EUR,1,114.0
BE,E10G22-T1-MINI,2023/1,EUR,1,114.0
BE,FS2500,2023/1,EUR,1,2635.49
BE,FS2500,2023/1,EUR,1,2635.49
BE,HAT5300-12T,2023/1,EUR,1,392.16
BE,HAT5300-12T,2023/1,EUR,3,1176.48
BE,HAT5300-12T,2023/1,EUR,12,4705.92
BE,HAT5300-16T,2023/1,EUR,-1,-519.84
BE,HAT5300-16T,2023/1,EUR,-1,-519.84
BE,HAT5300-16T,2023/1,EUR,-1,-519.84
BE,HAT5300-16T,2023/1,EUR,-1,-519.84
BE,HAT5300-16T,2023/1,EUR,1,519.84
BE,HAT5300-16T,2023/1,EUR,9,4678.56
BE,HAT5300-4T,2023/1,EUR,1,155.04
BE,HAT5300-4T,2023/1,EUR,1,155.04
BE,HAT5300-4T,2023/1,EUR,2,310.08
BE,HAT5300-4T,2023/1,EUR,2,310.08
BE,HAT5300-4T,2023/1,EUR,4,620.16
BE,HAT5300-4T,2023/1,EUR,4,620.16
BE,HAT5310-18T,2023/1,EUR,1,565.44
BE,HAT5310-18T,2023/1,EUR,1,565.44
BE,HAT5310-8T,2023/1,EUR,-1,-255.36
BE,HAT5310-8T,2023/1,EUR,1,255.36
BE,HAT5310-8T,2023/1,EUR,1,255.36
BE,HAT5310-8T,2023/1,EUR,2,510.72
BE,HAT5310-8T,2023/1,EUR,2,510.72
