InterCoCC,Product,Month,Currency,Received Qty,Total
NL,ADAPTER 100W_2,2023/1,EUR,1,39.52
NL,D3NS1866L-4G,2023/1,EUR,1,56.54
NL,D3NS1866L-4G,2023/1,EUR,1,56.54
NL,D4EC-2666-16G,2023/1,EUR,2,625.64
NL,D4EC-2666-16G,2023/1,EUR,1,312.82
NL,D4EC-2666-16G,2023/1,EUR,1,312.82
NL,D4EC-2666-16G,2023/1,EUR,1,312.82
NL,D4EC-2666-16G,2023/1,EUR,1,312.82
NL,D4EC-2666-8G,2023/1,EUR,2,304.6
NL,D4EC-2666-8G,2023/1,EUR,1,152.3
NL,D4ECSO-2666-16G,2023/1,EUR,2,565.44
NL,D4ECSO-2666-16G,2023/1,EUR,-1,-282.72
NL,D4ES01-16G:,2023/1,EUR,1,282.72
NL,D4ES01-8G,2023/1,EUR,1,145.92
NL,D4ES01-8G,2023/1,EUR,2,291.84
NL,D4ES02-8G,2023/1,EUR,2,291.84
NL,D4NESO-2666-4G,2023/1,EUR,2,138.62
NL,DEVICE LICENSE PACK (1 LICENSE),2023/1,EUR,2,72.96
NL,DEVICE LICENSE PACK (1 LICENSE),2023/1,EUR,5,182.4
NL,DEVICE LICENSE PACK (1 LICENSE),2023/1,EUR,2,72.96
NL,DEVICE LICENSE PACK (1 LICENSE),2023/1,EUR,2,72.96
NL,DEVICE LICENSE PACK (1 LICENSE),2023/1,EUR,1,36.48
NL,DEVICE LICENSE PACK (4 LICENSES),2023/1,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/1,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/1,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/1,EUR,1,136.8
NL,DEVICE LICENSE PACK (4 LICENSES),2023/1,EUR,1,136.8
NL,DEVICE LICENSE PACK (8 LICENSES),2023/1,EUR,1,248.06
NL,DEVICE LICENSE PACK (8 LICENSES),2023/1,EUR,1,248.06
NL,DEVICE LICENSE PACK (8 LICENSES),2023/1,EUR,1,248.06
NL,DEVICE LICENSE PACK (8 LICENSES),2023/1,EUR,3,744.18
NL,DS118,2023/1,EUR,4,528.96
NL,DS120J,2023/1,EUR,2,156.86
NL,DS120J,2023/1,EUR,1,78.43
NL,DS120J,2023/1,EUR,4,313.72
NL,DS120J,2023/1,EUR,1,78.43
NL,DS120J,2023/1,EUR,5,392.15
NL,DS120J,2023/1,EUR,1,78.43
NL,DS120J,2023/1,EUR,1,78.43
NL,DS120J,2023/1,EUR,2,156.86
NL,DS120J,2023/1,EUR,1,78.43
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,2,1176.48
NL,DS1522+,2023/1,EUR,2,1176.48
NL,DS1522+,2023/1,EUR,-1,-588.24
NL,DS1522+,2023/1,EUR,3,1764.72
NL,DS1522+,2023/1,EUR,-1,-588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1522+,2023/1,EUR,1,588.24
NL,DS1621+,2023/1,EUR,2,1561.34
NL,DS1621+,2023/1,EUR,1,780.67
NL,DS1621+,2023/1,EUR,1,780.67
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1621XS+,2023/1,EUR,2,2635.5
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1621XS+,2023/1,EUR,-2,-2635.5
NL,DS1621XS+,2023/1,EUR,2,2635.5
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1621XS+,2023/1,EUR,1,1317.75
NL,DS1821+,2023/1,EUR,1,867.31
NL,DS1821+,2023/1,EUR,1,867.31
NL,DS1821+,2023/1,EUR,1,867.31
NL,DS1821+,2023/1,EUR,1,867.31
NL,DS1821+,2023/1,EUR,2,1734.62
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,2,412.22
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,2,412.22
NL,DS218,2023/1,EUR,1,206.11
NL,DS218,2023/1,EUR,4,824.44
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,-1,-259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,34,8837.28
NL,DS220+,2023/1,EUR,27,7017.84
NL,DS220+,2023/1,EUR,2,519.84
NL,DS220+,2023/1,EUR,2,519.84
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,1,259.92
NL,DS220+,2023/1,EUR,10,2599.2
NL,DS220+,2023/1,EUR,-1,-259.92
NL,DS220J,2023/1,EUR,3,440.49
NL,DS220J,2023/1,EUR,3,440.49
NL,DS220J,2023/1,EUR,4,587.32
NL,DS220J,2023/1,EUR,7,1027.81
NL,DS220J,2023/1,EUR,-1,-146.83
NL,DS220J,2023/1,EUR,1,146.83
NL,DS2422+,2023/1,EUR,1,1562.26
NL,DS2422+,2023/1,EUR,1,1562.26
NL,DS420+,2023/1,EUR,4,1586.88
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420+,2023/1,EUR,1,396.72
NL,DS420J,2023/1,EUR,1,237.12
NL,DS420J,2023/1,EUR,8,1896.96
NL,DS420J,2023/1,EUR,1,237.12
NL,DS620SLIM,2023/1,EUR,1,390.34
NL,DS620SLIM,2023/1,EUR,2,780.68
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,2,702.24
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,9,3160.08
NL,DS720+,2023/1,EUR,8,2808.96
NL,DS920+,2023/1,EUR,-1,-442.32
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,7,3381.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,2,994.08
